date,ASIANPAINT,AXISBANK,BAJFINANCE,BHARTIARTL,HCLTECH,HDFC,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,RELIANCE,SBIN,SUNPHARMA,TCS,WIPRO
2010-01-04,112.66496276855469,140.71202087402344,16.031583786010742,281.7378234863281,60.86014175415039,534.87,134.24520874023438,221.39712524414062,85.31997680664062,131.97508239746094,65.32603454589844,202.4260406494141,607.6307983398438,1429.0474853515625,475.93115234375,459.0235290527344,95.06689453125,130.67277526855472,279.79360961914057,108.13359832763672
2010-01-05,113.0208511352539,143.64793395996094,15.924149513244627,286.198974609375,62.22953414916992,536.69,134.36320495605472,220.68618774414062,86.13026428222656,132.4171142578125,65.96987152099611,204.43038940429688,608.709228515625,1396.2562255859375,475.93115234375,456.97491455078125,95.10218048095705,134.599853515625,279.8681640625,109.84040832519531
2010-01-06,112.68069458007812,141.23680114746094,16.153118133544922,283.1673583984375,60.35173797607422,539.27,134.45375061035156,221.94081115722656,86.7895736694336,130.48504638671878,66.12439727783203,206.91586303710938,601.97265625,1346.332275390625,475.93115234375,464.3585815429688,95.67269897460938,136.34669494628906,273.54000854492193,107.61963653564452
2010-01-07,111.53115844726562,142.23672485351562,16.054960250854492,285.3761291503906,59.0643424987793,529.23,134.80397033691406,221.48077392578125,85.97022247314453,127.55236053466795,65.91841125488281,209.2400054931641,599.0814208984375,1338.6409912109375,475.93115234375,472.0623474121094,95.13744354248048,134.27044677734378,265.92776489257807,105.70985412597656
2010-01-08,113.37357330322266,144.0947265625,16.34702491760254,281.6076965332031,57.68673324584961,520.01,134.9810791015625,222.4426727294922,84.76253509521484,124.47860717773438,66.06004333496094,207.94805908203125,602.8707275390625,1320.0810546875,2159.282958984375,470.82464599609375,94.85321807861328,136.53309631347656,260.4930419921875,104.12012481689452
2010-01-11,113.18147277832031,148.8390350341797,16.760526657104492,284.98651123046875,58.26074600219727,520.02,134.43801879882812,222.56814575195312,84.3213882446289,125.7641143798828,66.08576202392578,208.74801635742188,602.5660400390625,1339.9766845703125,2163.005126953125,461.5843505859375,94.07109832763672,136.51138305664062,265.85330200195307,103.0838394165039
2010-01-12,116.13560485839844,148.82484436035156,16.129743576049805,279.1817626953125,60.327125549316406,511.93,133.41877746582028,219.2642822265625,81.73636627197266,130.67941284179688,64.39888763427734,202.46246337890625,603.2659912109375,1327.3116455078125,2166.380615234375,462.80078125,91.41561126708984,136.25999450683594,279.19808959960943,108.13359832763672
2010-01-13,117.04896545410156,147.54833984375,15.279322624206545,275.8463134765625,61.9835090637207,508.78,132.95442199707028,219.5570526123047,81.5325927734375,135.55674743652344,64.11555480957031,199.9907531738281,601.0924072265625,1316.028076171875,2154.696044921875,464.6145935058594,90.28285217285156,134.17942810058594,293.5292663574219,111.5312957763672
2010-01-14,118.52606201171876,151.20761108398438,15.688157081604006,275.5433959960937,60.69613265991211,504.99,132.52154541015622,214.16221618652344,81.01409912109375,135.872314453125,63.909584045410156,202.7950592041016,599.3683471679688,1303.224609375,2222.9453125,478.7417602539063,89.51319122314453,135.19367980957028,290.2907409667969,115.50530242919922
2010-01-15,117.91194915771484,152.86703491210938,15.840031623840332,274.9801025390625,60.58135986328125,504.3,133.33615112304688,214.4549865722656,81.70755004882812,135.16752624511722,65.09424591064453,202.1800994873047,593.1896362304688,1301.9351806640625,2175.599609375,474.0682678222656,88.93228912353516,132.2115478515625,294.59014892578125,114.6948471069336
2010-01-18,117.57496643066406,157.1007537841797,16.328319549560547,277.83908081054693,61.75391006469727,511.49,139.04214477539062,215.2077178955078,83.73460388183594,135.71551513671878,64.52767944335939,209.5470123291016,594.46435546875,1316.580810546875,2195.2041015625,469.2668151855469,89.47376251220703,131.46168518066406,298.61041259765625,116.50347900390624
2010-01-19,116.20175170898438,156.83126831054688,15.844698905944824,277.7088623046875,61.79492568969727,502.1,140.0299072265625,213.66038513183597,83.94318389892578,133.15180969238278,64.36024475097656,211.19512939453125,590.06396484375,1307.32373046875,2212.471923828125,463.0781555175781,90.16667938232422,128.81329345703122,290.6070861816406,115.17076873779295
2010-01-20,115.07743072509766,153.71095275878906,15.85171890258789,287.19537353515625,62.48372268676758,505.45,138.21183776855472,215.6259307861328,85.15033721923828,134.2530517578125,63.63914108276367,215.3031768798828,587.7110595703125,1343.29296875,2200.7001953125,459.8771667480469,89.61691284179688,127.7253189086914,290.12322998046875,113.23812866210938
2010-01-21,114.138916015625,150.5197296142578,15.377432823181152,279.31192016601557,60.76173782348633,487.4,134.71347045898438,214.7477264404297,82.70134735107422,132.61151123046878,62.96951293945313,207.70204162597656,547.529296875,1338.134521484375,2186.591064453125,449.8687438964844,88.13356018066406,126.98846435546876,286.8661193847656,110.5726318359375
2010-01-22,111.17845153808594,146.3214874267578,15.391474723815918,279.09494018554693,62.75431823730469,481.74,131.99424743652344,215.7514190673828,81.53791809082031,130.10595703125,64.15419006347656,199.17898559570312,528.7046508789061,1330.4893798828125,2189.015380859375,449.7833251953125,86.60873413085938,124.14066314697266,282.1015625,109.1075439453125
2010-01-25,111.8933334350586,144.48475646972656,15.26763916015625,286.67547607421875,59.23653793334961,476.39,130.38868713378906,220.76988220214844,80.57774353027344,128.42399597167972,65.69944000244139,191.40565490722656,535.4402465820311,1332.1014404296875,2183.17236328125,444.74713134765625,86.78507232666016,125.22431182861328,281.48736572265625,108.33657836914062
