date,close,dividend,high,low,open,split,volume
2005-12-01,2649.75,,2654.1,2595.45,2614.65,,0.0
2005-12-02,2652.3,,2679.9,2646.9,2670.35,,0.0
2005-12-05,2619.7,,2663.55,2614.05,2663.55,,0.0
2005-12-06,2618.6,,2646.45,2604.05,2622.3,,0.0
2005-12-07,2646.35,,2649.1,2622.9,2622.9,,0.0
2005-12-08,2659.7,,2663.55,2630.0,2653.9,,0.0
2005-12-09,2703.7,,2707.2,2664.25,2664.25,,0.0
2005-12-12,2720.75,,2733.1,2709.15,2716.45,,0.0
2005-12-13,2755.1,,2757.0,2713.35,2722.4,,0.0
2005-12-14,2752.0,,2770.35,2734.75,2758.7,,0.0
2005-12-15,2722.75,,2766.45,2710.45,2766.45,,0.0
2005-12-16,2754.4,,2757.9,2715.35,2737.0,,0.0
2005-12-19,2788.25,,2790.7,2761.85,2761.85,,0.0
2005-12-20,2773.1,,2796.9,2763.0,2791.4,,0.0
2005-12-21,2769.9,,2792.75,2747.9,2780.7,,0.0
2005-12-22,2781.05,,2790.8,2765.4,2782.45,,0.0
2005-12-23,2751.1,,2798.85,2746.45,2791.9,,0.0
2005-12-26,2693.55,,2739.75,2686.55,2739.75,,0.0
2005-12-27,2750.7,,2756.7,2673.1,2681.35,,0.0
2005-12-28,2739.5,,2767.9,2727.75,2751.5,,0.0
2005-12-29,2762.65,,2768.0,2741.65,2749.3,,0.0
2005-12-30,2781.55,,2789.7,2757.9,2762.7,,0.0
2006-01-02,2781.9,,2795.3,2772.55,2787.1,,0.0
2006-01-03,2828.0,,2830.85,2781.2,2789.05,,0.0
2006-01-04,2851.9,,2856.4,2834.3,2844.05,,0.0
2006-01-05,2854.6,,2863.3,2835.65,2860.1,,0.0
2006-01-06,2869.15,,2877.25,2834.75,2854.4,,0.0
2006-01-09,2866.1,,2881.45,2856.1,2879.7,,0.0
2006-01-10,2827.9,,2863.5,2823.1,2863.5,,0.0
2006-01-12,2811.55,,2825.7,2785.6,2799.3,,0.0
2006-01-13,2812.2,,2839.3,2808.5,2816.7,,0.0
2006-01-16,2793.9,,2815.45,2786.7,2809.7,,0.0
2006-01-17,2786.3,,2820.7,2779.4,2802.3,,0.0
2006-01-18,2765.9,,2783.3,2743.25,2762.95,,0.0
2006-01-19,2824.6,,2827.8,2785.35,2785.35,,0.0
2006-01-20,2855.05,,2865.4,2833.0,2836.65,,0.0
2006-01-21,2855.05,,2855.05,2855.05,2855.05,,0.0
2006-01-23,2841.95,,2851.85,2829.35,2835.8,,0.0
2006-01-25,2883.95,,2893.8,2859.85,2874.1,,0.0
2006-01-27,2931.75,,2937.95,2896.55,2896.55,,0.0
2006-01-30,2919.7,,2951.85,2910.45,2945.05,,0.0
2006-01-31,2944.15,,2947.7,2929.3,2930.15,,0.0
2006-02-01,2913.5,,2953.25,2903.3,2951.9,,0.0
2006-02-02,2910.85,,2938.35,2899.0,2929.8,,0.0
2006-02-03,2889.2,,2907.5,2881.0,2900.7,,0.0
2006-02-06,2942.35,,2948.85,2881.4,2891.45,,0.0
2006-02-07,2964.9,,2968.45,2937.3,2954.35,,0.0
2006-02-08,2956.35,,2963.6,2933.9,2954.1,,0.0
2006-02-10,2977.6,,2981.05,2963.55,2968.55,,0.0
2006-02-13,2992.5,,2993.8,2972.4,2982.25,,0.0
2006-02-14,2970.0,,3004.25,2963.25,2999.2,,0.0
2006-02-15,2971.65,,2999.1,2947.65,2992.75,,0.0
2006-02-16,2971.4,,2985.75,2966.35,2981.75,,0.0
2006-02-17,2928.95,,2986.0,2924.9,2984.7,,0.0
2006-02-20,2944.9,,2948.6,2900.65,2929.1,,0.0
2006-02-21,2972.6,,2978.4,2957.75,2957.75,,0.0
2006-02-22,2984.45,,2991.3,2970.35,2977.9,,0.0
2006-02-23,2988.7,,3004.75,2984.95,2991.85,,0.0
2006-02-24,2987.25,,2998.8,2975.55,2994.9,,0.0
2006-02-27,3004.65,,3007.25,2989.7,2989.7,,0.0
2006-02-28,3011.8,,3026.45,2969.25,3019.2,,0.0
2006-03-01,3057.75,,3061.15,3002.45,3005.85,,0.0
2006-03-02,3088.25,,3103.55,3066.8,3078.65,,0.0
2006-03-03,3088.75,,3106.55,3074.45,3099.5,,0.0
2006-03-06,3128.0,,3130.45,3099.35,3099.35,,0.0
2006-03-07,3125.45,,3129.9,3107.4,3129.25,,0.0
2006-03-08,3061.85,,3130.0,3055.9,3124.5,,0.0
2006-03-09,3074.6,,3077.5,3019.0,3067.85,,0.0
2006-03-10,3124.95,,3130.25,3093.85,3096.75,,0.0
2006-03-13,3139.95,,3159.2,3131.7,3139.15,,0.0
2006-03-14,3132.6,,3160.95,3123.65,3149.6,,0.0
2006-03-16,3162.95,,3165.6,3144.25,3150.75,,0.0
2006-03-17,3168.4,,3191.45,3162.5,3178.5,,0.0
2006-03-20,3197.85,,3200.1,3182.7,3191.8,,0.0
2006-03-21,3194.0,,3222.95,3178.85,3210.35,,0.0
2006-03-22,3170.75,,3198.75,3154.8,3187.05,,0.0
2006-03-23,3177.45,,3196.1,3157.65,3185.35,,0.0
2006-03-24,3209.95,,3214.4,3181.35,3185.5,,0.0
2006-03-27,3245.25,,3250.4,3217.9,3217.9,,0.0
2006-03-28,3242.5,,3265.3,3234.45,3258.4,,0.0
2006-03-29,3269.25,,3272.5,3244.95,3254.1,,0.0
2006-03-30,3321.05,,3333.05,3284.6,3284.6,,0.0
2006-03-31,3318.45,,3337.1,3292.05,3319.65,,0.0
2006-04-03,3387.4,,3391.65,3326.3,3326.3,,0.0
