date,open,low,high,close,volume
2010-01-04,1730.0,1715.050048828125,1742.800048828125,1570.054443359375,1490.0
2010-01-05,1716.199951171875,1716.199951171875,1795.0,1586.3558349609375,55913.0
2010-01-06,1760.0,1703.4000244140625,1760.0,1562.748779296875,1149.0
2010-01-07,1780.0,1715.0,1780.0,1577.9088134765625,18723.0
2010-01-08,1739.5,1683.6500244140625,1739.5,1559.23291015625,52457.0
2010-01-09,1739.5,1683.6500244140625,1739.5,1559.23291015625,52457.0
2010-01-10,1739.5,1683.6500244140625,1739.5,1559.23291015625,52457.0
2010-01-11,1700.0,1685.0,1709.800048828125,1554.666259765625,888.0
2010-01-12,1705.0,1686.0,1705.0,1545.442626953125,350.0
2010-01-13,1700.0,1700.0,1734.9000244140625,1581.0135498046875,1884.0
2010-01-14,1740.0,1720.0,1744.0,1586.21923828125,1630.0
2010-01-15,1730.0,1730.0,1799.9000244140625,1618.5025634765625,3428.0
2010-01-16,1730.0,1730.0,1799.9000244140625,1618.5025634765625,3428.0
2010-01-17,1730.0,1730.0,1799.9000244140625,1618.5025634765625,3428.0
2010-01-18,1795.0,1765.0,1800.0,1635.8543701171875,2788.0
2010-01-19,1775.0,1755.0,1799.9000244140625,1619.3245849609375,1248.0
2010-01-20,1774.9000244140625,1740.0999755859375,1774.9000244140625,1598.273681640625,330.0
2010-01-21,1736.25,1710.300048828125,1750.0,1568.1826171875,372.0
2010-01-22,1700.0,1650.300048828125,1700.0,1537.2232666015625,2163.0
2010-01-23,1700.0,1650.300048828125,1700.0,1537.2232666015625,2163.0
2010-01-24,1700.0,1650.300048828125,1700.0,1537.2232666015625,2163.0
2010-01-25,1680.0999755859375,1602.0,1688.800048828125,1475.579345703125,1446.0
2010-01-26,1680.0999755859375,1602.0,1688.800048828125,1475.579345703125,1446.0
2010-01-27,1620.0,1570.1500244140625,1655.0,1448.0904541015625,6174.0
2010-01-28,1585.6500244140625,1575.300048828125,1599.699951171875,1440.8758544921875,610.0
2010-01-29,1575.0,1560.0,1600.050048828125,1455.30517578125,1131.0
2010-01-30,1575.0,1560.0,1600.050048828125,1455.30517578125,1131.0
2010-01-31,1575.0,1560.0,1600.050048828125,1455.30517578125,1131.0
2010-02-01,1645.0,1645.0,1775.0,1608.730712890625,59082.0
2010-02-02,1750.0,1720.0,1750.0,1578.09130859375,1584.0
2010-02-03,1757.800048828125,1730.1500244140625,1771.949951171875,1606.3563232421875,3022.0
2010-02-04,1734.0,1734.0,1890.0,1689.826904296875,15693.0
2010-02-05,1850.3499755859373,1750.0,1897.0,1696.1285400390625,11357.0
2010-02-06,1850.3499755859373,1750.0,1897.0,1696.1285400390625,11357.0
2010-02-07,1850.3499755859373,1750.0,1897.0,1696.1285400390625,11357.0
2010-02-08,1850.0,1850.0,1936.0,1758.8685302734375,12811.0
2010-02-09,1881.0,1881.0,1969.0,1749.6903076171875,79991.0
2010-02-10,1920.0,1910.0,1948.0,1772.7955322265625,3209.0
2010-02-11,1960.0,1919.050048828125,1963.0,1762.8868408203125,4573.0
2010-02-12,1960.0,1919.050048828125,1963.0,1762.8868408203125,4573.0
2010-02-13,1960.0,1919.050048828125,1963.0,1762.8868408203125,4573.0
2010-02-14,1960.0,1919.050048828125,1963.0,1762.8868408203125,4573.0
2010-02-15,1920.0,1910.0,1930.0,1754.759033203125,2037.0
