Scrip Code,COMPANY,ISIN No.,Close Price
511072,Dewan Housing Finance Corp Ltd,INE202B01012,11.46
507717,Dhanuka Agritech Ltd,INE435G01025,571.15
540047,Dilip Buildcon Ltd,INE917M01012,256.7
532839,Dish TV India Ltd,INE836F01026,4.46
540701,Dishman Carbogen Amics Ltd,INE385W01011,67.55
532488,Divi's Laboratories Ltd,INE361B01024,2283.45
540699,Dixon Technologies (India) Ltd,INE935N01012,4624.35
532868,DLF Ltd,INE271C01023,144.1
500124,Dr Reddy's Laboratories Ltd,INE089A01023,3888.65
539524,Dr. Lal PathLabs Ltd,INE600L01024,1554.4
532927,eClerx Services Ltd,INE738I01010,417.35
532922,Edelweiss Financial Services Ltd,INE532F01054,47.7
505200,Eicher Motors Ltd,INE066A01013,16216.9
500125,EID Parry India Ltd,INE126A01031,196.55
500840,EIH Ltd,INE230A01023,64.8
531162,Emami Ltd,INE548C01032,191.8
540153,Endurance Technologies Ltd,INE913H01037,675.05
532178,Engineers India Ltd,INE510A01028,62.8
539844,Equitas Holdings Ltd,INE988K01017,42.7
540596,Eris Lifesciences Ltd,INE406M01024,481
500133,Esab India Ltd,INE284A01012,1311.65
500495,Escorts Ltd,INE042A01014,889.65
500135,Essel Propack Ltd.,INE255A01020,174.95
500086,Exide Industries Ltd,INE302A01020,158.6
531599,FDC Ltd,INE258B01022,246.95
500469,Federal Bank Ltd,INE171A01029,42.75
541557,Fine Organic Industries Ltd,INE686Y01026,1927.65
500144,Finolex Cables Ltd,INE235A01022,205.65
500940,Finolex Industries Ltd,INE183A01016,410.6
532809,Firstsource Solutions Ltd,INE684F01012,31.15
500033,Force Motors Ltd,INE451A01017,823
532843,Fortis Healthcare Ltd.,INE061F01013,115.1
533400,Future Consumer Ltd,INE220J01025,8.59
536507,Future Lifestyle Fashions Limited,INE452O01016,145.85
540064,Future Retail Ltd,INE752P01024,80.9
532155,Gail India Ltd,INE129A01019,89.05
540935,Galaxy Surfactants Ltd,INE600K01018,1309.65
542011,Garden Reach Shipbuilders & Engineers Ltd,INE382Z01011,137.9
509557,Garware Technical Fibres Ltd,INE276A01018,1379.9
532622,Gateway Distriparks Ltd,INE852F01015,76.05
532767,Gayatri Projects Ltd,INE336H01023,12.88
532309,GE Power India Ltd,INE878A01011,381.5
522275,GE T&D India Ltd,INE200A01026,61.65
540755,General Insurance Corporation of India,INE481Y01014,133.2
500171,GHCL Ltd,INE539A01019,104.3
511676,GIC Housing Finance Ltd,INE289B01019,64.3
507815,Gillette India Ltd,INE322A01010,4812.4
500660,GlaxoSmithKline Pharmaceuticals Ltd,INE159A01016,1341.35
532296,Glenmark Pharmaceuticals Ltd,INE935A01035,343.35
505255,GMM Pfaudler Limited,INE541A01023,3628.85
532754,GMR Infrastructure Ltd,INE776C01039,17.8
500163,Godfrey Phillips India Ltd,INE260B01028,976.25
540743,Godrej Agrovet Ltd,INE850D01014,363.35
532424,Godrej Consumer Products Ltd,INE102D01028,604.4
500164,Godrej Industries Ltd,INE233A01035,312.75
533150,Godrej Properties Ltd,INE484J01027,655.3
532482,Granules India Ltd,INE101D01020,171.55
509488,Graphite India Ltd.,INE371A01025,183.8
500300,Grasim Industries Ltd,INE047A01021,576.55
500620,Great Eastern Shipping Co Ltd/The,INE017A01032,211.3
501455,Greaves Cotton Ltd.,INE224A01026,71.9
506076,Grindwell Norton Ltd,INE536A01023,516.8
530001,Gujarat Alkalies & Chemicals Ltd.,INE186A01019,321.6
539336,Gujarat Gas Ltd,INE844O01030,232.85
532181,Gujarat Mineral Development Corp Ltd,INE131A01031,37.55
500670,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,130.45
533248,Gujarat Pipavav Port Ltd,INE517F01014,60.8
500690,Gujarat State Fertilisers & Chemicals Ltd,INE026A01025,40.5
532702,Gujarat State Petronet Ltd,INE246F01010,192.25
538567,Gulf Oil Lubricants India Ltd,INE635Q01029,574
533162,Hathway Cables and Datacom Ltd,INE982F01036,23.8
517354,Havells India Ltd,INE176B01034,499.8
508486,HawkiBO Cookers Ltd,INE979B01015,4008.7
532281,HCL Technologies Ltd,INE860A01027,544.25
541729,HDFC Asset Management Company Ltd,INE127D01025,2499.55
500180,HDFC Bank Ltd,INE040A01034,945.05
540777,HDFC Life Insurance Company Ltd,INE795G01014,516.8
509631,HEG Ltd,INE545A01016,749.75
500292,HeidelbergCement India Ltd.,INE578A01017,157.65
519552,Heritage Foods Ltd,INE978A01027,238.9
500182,Hero MotoCorp Ltd,INE158A01026,2294.25
532129,Hexaware Technologies Ltd,INE093A01033,248.65
500183,HFCL Ltd,INE548A01028,9.26
500184,Himadri Speciality Chemical Ltd,INE019C01026,46.45
514043,Himatsingka Seide,INE049A01027,46
500440,Hindalco Industries Ltd,INE038A01020,138.4
541154,Hindustan Aeronautics Ltd,INE066F01012,555.5
513599,Hindustan Copper,INE531E01026,25.9
500104,Hindustan Petroleum Corp Ltd,INE094A01015,186
500696,Hindustan Unilever Ltd,INE030A01027,2009.25
500188,Hindustan Zinc Ltd,INE267A01025,168.6
517174,Honeywell Automation India Ltd,INE671A01010,26953.9
540530,Housing and Urban Development Corporation Ltd,INE031A01017,22.9
500010,Housing Development Finance Corp,INE001A01036,1625.55
532174,ICICI Bank Ltd,INE090A01021,326.75
540716,ICICI Lombard General Insurance Company Ltd,INE765G01017,1254.4
540133,ICICI Prudential Life Insurance Company Ltd,INE726G01019,367.6
541179,ICICI Securities Ltd,INE763G01038,377.8
500116,IDBI Bank Ltd,INE008A01015,20.05
539437,IDFC First Bank Ltd,INE092T01019,20.3
532659,IDFC Limited,INE043D01016,13.64
505726,IFB Industries Ltd,INE559A01017,386.9
500106,IFCI Ltd,INE039A01010,4.08
532636,IIFL Finance Ltd,INE530B01024,63.95
530005,India Cements Ltd,INE383A01012,129.35
532189,India Tourism Development Corp Ltd,INE353K01014,160.5
535789,Indiabulls Housing Finance Limited,INE148I01020,120.75
533520,Indiabulls Integrated Services Ltd,INE126M01010,33.75
532832,Indiabulls Real Estate Ltd,INE069I01010,43.05
532814,Indian Bank,INE562A01011,43.7
540750,Indian Energy Exchange Ltd,INE022Q01020,164.8
500850,Indian Hotels Co Ltd,INE053A01029,73.8
530965,Indian Oil Corp Ltd,INE242A01010,77.7
532388,Indian Overseas Bank,INE565A01014,7.28
