date,open,high,low,close,volume,dividend,split
2007-09-17,8089.669921875,8128.06982421875,8008.7001953125,8036.97021484375,35033300,0,0
2007-09-18,8055.919921875,8135.35009765625,8021.2900390625,8125.43017578125,38019700,0,0
2007-09-19,8244.1796875,8431.58984375,8244.1796875,8425.4404296875,61217600,0,0
2007-09-20,8440.16015625,8504.9599609375,8404.1904296875,8480.650390625,61217600,0,0
2007-09-21,8486.9501953125,8617.419921875,8473.7001953125,8596.5595703125,246853100,0,0
2007-09-22,8486.9501953125,8617.419921875,8473.7001953125,8596.5595703125,246853100,0,0
2007-09-23,8486.9501953125,8617.419921875,8473.7001953125,8596.5595703125,246853100,0,0
2007-09-24,8659.33984375,8760.169921875,8624.759765625,8751.830078125,126846600,0,0
2007-09-25,8789.669921875,8795.509765625,8649.830078125,8766.150390625,120815600,0,0
2007-09-26,8800.33984375,8859.6298828125,8764.8896484375,8781.4599609375,102465800,0,0
2007-09-27,8846.150390625,8900.8701171875,8830.51953125,8873.900390625,88454100,0,0
2007-09-28,8882.6796875,8992.650390625,8882.6796875,8967.41015625,116877200,0,0
2007-09-29,8882.6796875,8992.650390625,8882.6796875,8967.41015625,116877200,0,0
2007-09-30,8882.6796875,8992.650390625,8882.6796875,8967.41015625,116877200,0,0
2007-10-01,8989.8896484375,9073.51953125,8919.5400390625,9028.400390625,92652200,0,0
2007-10-02,8989.8896484375,9073.51953125,8919.5400390625,9028.400390625,92652200,0,0
2007-10-03,9092.51953125,9342.9404296875,8962.4404296875,9267.0400390625,131359300,0,0
2007-10-04,9248.2900390625,9286.33984375,9100.9599609375,9244.4296875,80005800,0,0
2007-10-05,9274.4697265625,9313.6103515625,9156.6201171875,9191.9501953125,63465800,0,0
2007-10-06,9274.4697265625,9313.6103515625,9156.6201171875,9191.9501953125,63465800,0,0
2007-10-07,9274.4697265625,9313.6103515625,9156.6201171875,9191.9501953125,63465800,0,0
2007-10-08,9253.990234375,9297.0302734375,8892.08984375,8998.599609375,82999800,0,0
2007-10-09,8948.5595703125,9408.33984375,8872.2001953125,9390.0595703125,106497700,0,0
2007-10-10,9475.900390625,9623.3701171875,9471.9697265625,9591.9599609375,113859300,0,0
2007-10-11,9617.1103515625,9723.849609375,9556.16015625,9718.3896484375,132839100,0,0
2007-10-12,9696.73046875,9750.0595703125,9479.7900390625,9525.9697265625,131898100,0,0
2007-10-13,9696.73046875,9750.0595703125,9479.7900390625,9525.9697265625,131898100,0,0
2007-10-14,9696.73046875,9750.0595703125,9479.7900390625,9525.9697265625,131898100,0,0
2007-10-15,9569.2001953125,9892.5595703125,9569.2001953125,9876.2802734375,102669200,0,0
2007-10-16,9894.6904296875,9959.150390625,9763.919921875,9915.0,100567900,0,0
2007-10-17,9366.7998046875,9754.650390625,8980.1298828125,9703.6904296875,139064300,0,0
2007-10-18,9762.669921875,9973.650390625,9198.2900390625,9319.830078125,155918300,0,0
2007-10-19,9327.08984375,9327.08984375,8874.169921875,9045.1396484375,119772600,0,0
2007-10-20,9327.08984375,9327.08984375,8874.169921875,9045.1396484375,119772600,0,0
2007-10-21,9327.08984375,9327.08984375,8874.169921875,9045.1396484375,119772600,0,0
2007-10-22,8887.830078125,9138.9501953125,8825.7802734375,9077.1796875,131875100,0,0
2007-10-23,9212.66015625,9592.509765625,9212.66015625,9573.400390625,98421500,0,0
2007-10-24,9698.3798828125,9777.4404296875,9512.9599609375,9629.8603515625,104057600,0,0
2007-10-25,9634.4697265625,9803.7900390625,9607.16015625,9748.9404296875,82738600,0,0
2007-10-26,9785.5400390625,10020.0,9692.4296875,10002.759765625,109127200,0,0
2007-10-27,9785.5400390625,10020.0,9692.4296875,10002.759765625,109127200,0,0
2007-10-28,9785.5400390625,10020.0,9692.4296875,10002.759765625,109127200,0,0
2007-10-29,10184.5595703125,10373.6904296875,10184.5595703125,10349.740234375,122872100,0,0
2007-10-30,10349.740234375,10482.23046875,10260.9599609375,10335.2900390625,147019000,0,0
2007-10-31,10368.669921875,10472.150390625,10319.3798828125,10391.1904296875,124919500,0,0
2007-11-01,10531.26953125,10598.6201171875,10258.4697265625,10310.7197265625,196823000,0,0
2007-11-02,10127.5703125,10467.4599609375,10058.6298828125,10447.6796875,121615800,0,0
2007-11-03,10127.5703125,10467.4599609375,10058.6298828125,10447.6796875,121615800,0,0
2007-11-04,10127.5703125,10467.4599609375,10058.6298828125,10447.6796875,121615800,0,0
2007-11-05,10463.080078125,10502.0595703125,10271.8701171875,10316.5703125,161315200,0,0
2007-11-06,10382.400390625,10499.740234375,10158.48046875,10200.4697265625,197740900,0,0
2007-11-07,10290.4697265625,10360.5595703125,10113.5,10162.41015625,129050500,0,0
2007-11-08,10050.83984375,10111.6103515625,9959.33984375,10044.58984375,103015400,0,0
2007-11-09,10050.83984375,10111.6103515625,9959.33984375,10044.58984375,103015400,0,0
2007-11-10,10050.83984375,10111.6103515625,9959.33984375,10044.58984375,103015400,0,0
2007-11-11,10050.83984375,10111.6103515625,9959.33984375,10044.58984375,103015400,0,0
2007-11-12,11354.3701171875,11434.91015625,11174.5302734375,11369.240234375,103169700,0,0
2007-11-13,11377.7001953125,11547.91015625,11317.5595703125,11408.9296875,109705600,0,0
2007-11-14,11626.5302734375,12202.33984375,11626.5302734375,12202.33984375,126006500,0,0
2007-11-15,12257.2900390625,12368.5703125,12182.6904296875,12315.8798828125,113352800,0,0
2007-11-16,12171.5302734375,12686.9296875,12171.5302734375,12479.5595703125,126787300,0,0
2007-11-17,12171.5302734375,12686.9296875,12171.5302734375,12479.5595703125,126787300,0,0
2007-11-18,12171.5302734375,12686.9296875,12171.5302734375,12479.5595703125,126787300,0,0
2007-11-19,12682.51953125,12741.1796875,10531.669921875,10531.669921875,106925500,0,0
2007-11-20,12363.490234375,12517.150390625,12049.6396484375,12136.580078125,101722500,0,0
2007-11-21,12079.759765625,12105.990234375,11646.7900390625,11730.990234375,94564400,0,0
2007-11-22,11846.8798828125,11872.2099609375,11388.5703125,11692.0703125,105154500,0,0
2007-11-23,11852.6796875,12037.830078125,11694.98046875,11987.4697265625,84618500,0,0
2007-11-24,11852.6796875,12037.830078125,11694.98046875,11987.4697265625,84618500,0,0
2007-11-25,11852.6796875,12037.830078125,11694.98046875,11987.4697265625,84618500,0,0
2007-11-26,12197.5498046875,12332.2998046875,12059.1904296875,12215.2802734375,75374700,0,0
2007-11-27,12143.2197265625,12226.2001953125,12028.66015625,12197.0,77963900,0,0
2007-11-28,12372.33984375,12372.33984375,11869.5498046875,11917.580078125,103391300,0,0
2007-11-29,10305.0,10306.58984375,10103.169921875,10133.009765625,121285600,0,0
2007-11-30,10202.5595703125,10413.3203125,10163.8203125,10384.400390625,134435500,0,0
2007-12-01,10202.5595703125,10413.3203125,10163.8203125,10384.400390625,134435500,0,0
2007-12-02,10202.5595703125,10413.3203125,10163.8203125,10384.400390625,134435500,0,0
2007-12-03,10488.01953125,10582.01953125,10461.9404296875,10574.4501953125,164738400,0,0
2007-12-04,10637.0498046875,10655.5302734375,10565.509765625,10595.8896484375,108754200,0,0
2007-12-05,10661.2802734375,10749.8095703125,10599.2197265625,10728.7197265625,93575800,0,0
2007-12-06,10890.599609375,10910.0498046875,10701.830078125,10755.9404296875,118355400,0,0
2007-12-07,10905.1298828125,10918.16015625,10654.830078125,10817.7998046875,80892000,0,0
2007-12-08,10905.1298828125,10918.16015625,10654.830078125,10817.7998046875,80892000,0,0
2007-12-09,10905.1298828125,10918.16015625,10654.830078125,10817.7998046875,80892000,0,0
2007-12-10,10885.4296875,10887.6796875,10767.7197265625,10821.5400390625,66861700,0,0
2007-12-11,10897.1298828125,11019.2099609375,10881.330078125,10996.5498046875,66202000,0,0
2007-12-12,10943.9501953125,11122.9404296875,10867.400390625,11102.9501953125,84047400,0,0
2007-12-13,11161.91015625,11172.83984375,10963.0400390625,10985.240234375,70437200,0,0
2007-12-14,12902.1201171875,13018.330078125,12829.4404296875,12980.9501953125,57199900,0,0
