date,open,high,low,close,volume,dividend,split
2010-06-25,10.0014,10.0014,10.0014,10.0014,0,0,0
2010-06-28,10.0063,10.0063,10.0063,10.0063,0,0,0
2010-06-29,10.008,10.008,10.008,10.008,0,0,0
2010-06-30,10.0097,10.0097,10.0097,10.0097,0,0,0
2010-07-02,10.0132,10.0132,10.0132,10.0132,0,0,0
2010-07-05,10.0185,10.0185,10.0185,10.0185,0,0,0
2010-07-06,10.0202,10.0202,10.0202,10.0202,0,0,0
2010-07-07,10.022,10.022,10.022,10.022,0,0,0
2010-07-08,10.0238,10.0238,10.0238,10.0238,0,0,0
2010-07-09,10.0265,10.0265,10.0265,10.0265,0,0,0
2010-07-12,10.0316,10.0316,10.0316,10.0316,0,0,0
2010-07-13,10.0333,10.0333,10.0333,10.0333,0,0,0
2010-07-14,10.0351,10.0351,10.0351,10.0351,0,0,0
2010-07-15,10.0369,10.0369,10.0369,10.0369,0,0,0
2010-07-16,10.0389,10.0389,10.0389,10.0389,0,0,0
2010-07-19,10.0439,10.0439,10.0439,10.0439,0,0,0
2010-07-20,10.0456,10.0456,10.0456,10.0456,0,0,0
2010-07-21,10.0473,10.0473,10.0473,10.0473,0,0,0
2010-07-22,10.049,10.049,10.049,10.049,0,0,0
2010-07-23,10.0507,10.0507,10.0507,10.0507,0,0,0
2010-07-26,10.0557,10.0557,10.0557,10.0557,0,0,0
2010-07-27,10.0573,10.0573,10.0573,10.0573,0,0,0
2010-07-28,10.059,10.059,10.059,10.059,0,0,0
2010-07-29,10.06,10.06,10.06,10.06,0,0,0
2010-07-30,10.0617,10.0617,10.0617,10.0617,0,0,0
2010-08-02,10.0668,10.0668,10.0668,10.0668,0,0,0
2010-08-03,10.0684,10.0684,10.0684,10.0684,0,0,0
2010-08-04,10.0701,10.0701,10.0701,10.0701,0,0,0
2010-08-05,10.0718,10.0718,10.0718,10.0718,0,0,0
2010-08-06,10.0715,10.0715,10.0715,10.0715,0,0,0
2010-08-09,10.0767,10.0767,10.0767,10.0767,0,0,0
2010-08-10,10.0787,10.0787,10.0787,10.0787,0,0,0
2010-08-11,10.0807,10.0807,10.0807,10.0807,0,0,0
2010-08-12,10.0825,10.0825,10.0825,10.0825,0,0,0
2010-08-13,10.0842,10.0842,10.0842,10.0842,0,0,0
2010-08-16,10.0895,10.0895,10.0895,10.0895,0,0,0
2010-08-17,10.0912,10.0912,10.0912,10.0912,0,0,0
2010-08-18,10.0929,10.0929,10.0929,10.0929,0,0,0
2010-08-20,10.0963,10.0963,10.0963,10.0963,0,0,0
2010-08-23,10.1011,10.1011,10.1011,10.1011,0,0,0
2010-08-24,10.1031,10.1031,10.1031,10.1031,0,0,0
2010-08-25,10.1048,10.1048,10.1048,10.1048,0,0,0
2010-08-26,10.1065,10.1065,10.1065,10.1065,0,0,0
2010-08-27,10.1083,10.1083,10.1083,10.1083,0,0,0
2010-08-30,10.1135,10.1135,10.1135,10.1135,0,0,0
2010-08-31,10.1152,10.1152,10.1152,10.1152,0,0,0
